SAMPLE,VAR,LOC,VARLOC,AMINOACID,CONCENTRATION
4,Salcedo,Chile,Salcedo-Chile,Tryptophan,57.08128079
11,Salcedo,Chile,Salcedo-Chile,Tryptophan,56.21189024
12,Regalona,Chile,Regalona-Chile,Tryptophan,29.6803653
19,Regalona,Chile,Regalona-Chile,Tryptophan,39.98505232
6,Titicaca,Chile,Titicaca-Chile,Tryptophan,37.32683427
13,Titicaca,Chile,Titicaca-Chile,Tryptophan,20.07253627
20,Titicaca,Chile,Titicaca-Chile,Tryptophan,30.26992288
7,Salcedo,Peru,Salcedo-Peru,Tryptophan,124.0837696
21,Salcedo,Peru,Salcedo-Peru,Tryptophan,118.1203931
1,Salcedo,Spain,Salcedo-Spain,Valine,62.62462612
15,Salcedo,Spain,Salcedo-Spain,Valine,87.46803069
2,Regalona,Spain,Regalona-Spain,Valine,42.46676514
9,Regalona,Spain,Regalona-Spain,Valine,38.13559322
16,Regalona,Spain,Regalona-Spain,Valine,64.22651934
10,Titicaca,Spain,Titicaca-Spain,Valine,16.09281437
17,Titicaca,Spain,Titicaca-Spain,Valine,29.74072191
4,Salcedo,Chile,Salcedo-Chile,Valine,26.97044335
11,Salcedo,Chile,Salcedo-Chile,Valine,24.00914634
12,Regalona,Chile,Regalona-Chile,Valine,28.91933029
19,Regalona,Chile,Regalona-Chile,Valine,34.75336323
6,Titicaca,Chile,Titicaca-Chile,Valine,46.75474602
13,Titicaca,Chile,Titicaca-Chile,Valine,26.07553777
20,Titicaca,Chile,Titicaca-Chile,Valine,34.51156812
7,Salcedo,Peru,Salcedo-Peru,Valine,39.07068063
21,Salcedo,Peru,Salcedo-Peru,Valine,26.35135135
