VARLOC,LOC,VAR,emmean,SE,df,lower.CL,upper.CL,.group,AMINOACID
Titicaca-Spain,Titicaca,Spain,15.8897697755,2.71801604420909,9,6.51878420466648,25.2607553463335, a,Histidine
Regalona-Chile,Regalona,Chile,5.085795606,0.553904088027588,9,3.17608384120332,6.99550737079668, a,Hydroxyproline
Regalona-Spain,Regalona,Spain,4.77373921,0.452260794036416,9,3.21446608348606,6.33301233651394, a,Hydroxyproline
Salcedo-Chile,Salcedo,Chile,3.5709592395,0.553904088027588,9,1.66124747470332,5.48067100429668, a,Hydroxyproline
Salcedo-Peru,Salcedo,Peru,3.60976755,0.553904088027588,9,1.70005578520332,5.51947931479668, a,Hydroxyproline
Salcedo-Spain,Salcedo,Spain,3.9696129005,0.553904088027588,9,2.05990113570332,5.87932466529668, a,Hydroxyproline
Titicaca-Chile,Titicaca,Chile,3.886289065,0.452260794036416,9,2.32701593848606,5.44556219151394, a,Hydroxyproline
Titicaca-Spain,Titicaca,Spain,4.1036698845,0.553904088027588,9,2.19395811970332,6.01338164929668, a,Hydroxyproline
Regalona-Chile,Regalona,Chile,31.277515,4.53750406936283,9,15.6334259033992,46.9216040966008, ab,Isoleucine
Regalona-Spain,Regalona,Spain,38.2907322566667,3.70485655858039,9,25.5173869975634,51.0640775157699, ab,Isoleucine
Salcedo-Chile,Salcedo,Chile,20.441003095,4.53750406936283,9,4.79691399839918,36.0850921916008, a ,Isoleucine
Salcedo-Peru,Salcedo,Peru,16.923408415,4.53750406936283,9,1.27931931839916,32.5674975116008, a ,Isoleucine
Salcedo-Spain,Salcedo,Spain,51.436722445,4.53750406936283,9,35.7926333483992,67.0808115416008,  b,Isoleucine
Titicaca-Chile,Titicaca,Chile,35.5217903966667,3.7048565585804,9,22.7484451375634,48.2951356557699, ab,Isoleucine
Titicaca-Spain,Titicaca,Spain,21.91876415,4.53750406936283,9,6.27467505339918,37.5628532466008, a ,Isoleucine
Regalona-Chile,Regalona,Chile,35.42396134,4.04233316254997,9,21.4870878548472,49.3608348251528, ab,Leucine
Regalona-Spain,Regalona,Spain,36.1839160066667,3.30055120619281,9,24.8045064572171,47.5633255561162, ab,Leucine
Salcedo-Chile,Salcedo,Chile,22.158851975,4.04233316254997,9,8.22197848984717,36.0957254601528, a ,Leucine
Salcedo-Peru,Salcedo,Peru,19.40340507,4.04233316254997,9,5.46653158484716,33.3402785551528, a ,Leucine
Salcedo-Spain,Salcedo,Spain,43.61128571,4.04233316254997,9,29.6744122248472,57.5481591951528,  b,Leucine
Titicaca-Chile,Titicaca,Chile,37.5490959933333,3.30055120619281,9,26.1696864438838,48.9285055427829, ab,Leucine
Titicaca-Spain,Titicaca,Spain,24.34661054,4.04233316254997,9,10.4097370548472,38.2834840251528, ab,Leucine
Regalona-Chile,Regalona,Chile,11.866856415,1.02361812917701,9,8.33769743928371,15.3960153907163,  b ,Lysine
